Date,Day,Platform,Series,Headline,Copy,Visual Specs,Hashtags,Publish Time,Notes,
6/30/26,Sunday,Facebook,Community Spotlight,Why Madison matters. Why The Gallery will too.,"Madison families are ready for a gathering place. Real families, real lives, real need.

For 25 years, Sunny Sethi has been embedded in Mississippi. He's watched Madison grow — families choosing to stay, businesses expanding, a community hungry for somewhere to belong. But Madison's been missing something: a real destination. A place where neighbors become friends. Where local businesses thrive. Where a Friday night feels like a celebration.

That's why The Gallery exists.

It's not about a real estate project. It's about Madison.

Transforming communities one connection at a time.",Madison street/neighborhood lifestyle photo (families, local context warm),#ThinkMadison #Madison #MississippiCommunity #LocalBusiness,10am,Week 1 - Why We're Here
7/1/26,Tuesday,Instagram,Meet the People,Meet Sunny Sethi.,"25 years. Five companies. One belief: communities transform when people come first.

Sunny Sethi didn't start Bellamare to maximize returns. He started it because he believed Mississippi deserved a different kind of developer — one who hires people, not positions. One who asks ""what does this community actually need?"" instead of ""what can we sell?""

That philosophy shapes everything. The Gallery. Channel South. Every hire. Every partnership.

""Extraordinary organizations are built by extraordinary people."" — Sunny Sethi

Transforming communities one connection at a time.",Sunny Sethi headshot (warm confident authentic),#Leadership #MississippiLeader #FamilyBusiness #DeveloperPhilosophy,9am,,
7/1/26,Tuesday,Facebook,Community Welcome,A different kind of developer. A different kind of mission.,"You'll hear us say this a lot: we hire people, not positions.

It sounds simple. But it's how you build something real.

At Bellamare, we operate five independent companies (Bellamare Development, Property Solutions, Certified Hospitality Management, Blackline Capital, Marée Creative) united by one mission: transform communities one connection at a time.

That means every project starts with a question: What does this community need?

For Madison, the answer was clear. A gathering place. The Gallery.

For Gulfport, it was a waterfront catalyst. Channel South.

Each project is rooted in community first, returns second.

Follow along this July as we share what that looks like in practice.

Transforming communities one connection at a time.",Bellamare seal + mission statement graphic (warm color palette),#MissionDriven #Community #MississippiDevelopment #LocalBusiness,6pm,,
7/2/26,Wednesday,LinkedIn,Leadership Philosophy,"What """"We Hire People"," Not Positions"""" Actually Means","Most organizations hire for credentials. Fill the role. Follow the chart. Measure output.

Bellamare hires for potential. For adaptability. For the ability to think in systems.

Here's why that matters: real estate development is chaos disguised as planning. Budgets shift. Markets change. Vendors fail. The only thing that saves a project is people smart enough to solve problems you didn't anticipate.

So when we hire, we ask: Can this person learn? Do they think differently than we do? Will they make us smarter?

That philosophy is embedded in every team — site crews, architects, finance, creative, operations. And it shows.

When July wraps and The Gallery team reflects on keeping timelines, budgets, and relationships intact during pre-construction phase, it won't be because the process was perfect. It'll be because we hired people who could navigate the reality.

Creation. Capital. Customer. Charity. This is how.",Diverse team photo (authentic collaborative),#HiringPhilosophy #Leadership #Talent #OrganizationalCulture,9am,
7/3/26,Wednesday,Instagram,Behind the Scenes,The Gallery lot cleared and ready.,"The site's empty. Quiet. Waiting.

This is the moment before the magic — when a vision on paper becomes a place people will actually live in, eat in, gather in.

Right now, it doesn't look like much. But Paige Prechter and the development team see what's coming. Fondren & Codaray see it. The 80+ tenants with signed LOIs see it.

MS Candy, Journey Wealth, Recovery Center, Enclave MedSpa, NeoGolf, Spinners Entertainment — they've all committed to this vision.

That tells you something. When local businesses believe in a development, it's not about the buildings. It's about what the buildings will create.

Coming soon. 🏗️

Transforming communities one connection at a time.",Gallery lot cleared (aerial or landscape empty but intentional; or render of full vision),#ComingSoon #Madison #MixedUseDevelopment #Community,9am,,
7/4/26,Thursday,Facebook,Community Gathering,Independence. Connection. Community.,"On Independence Day, we're thinking about a different kind of independence.

At Bellamare, we run five separate companies. Each with freedom to lead in their domain. Each with the autonomy to think creatively and move fast.

But they're all connected by one purpose: Transforming communities one connection at a time.

It's independent, yet interdependent. Entrepreneurial, yet mission-aligned. Profitable, yet community-first.

That balance is rare. And it's exactly what makes real community transformation possible.

Happy 4th. 🇺🇸

Transforming communities one connection at a time.",American flag + Bellamare seal (simple patriotic),#IndependenceDay #Community #MissionDriven,10am,,
7/4/26,Thursday,Instagram,Community Spotlight,Where Madison families gather this July.,"While we're building The Gallery, Madison families are gathering everywhere — parks, restaurants, neighborhood streets.

This month, we're curious: Where's your favorite gathering place in Madison? What makes it special?

Comment below or tag us in your photo. 📸

(And save a seat for us. In 2028, you'll have one more spot to gather. The Gallery.)

Transforming communities one connection at a time.",Community lifestyle photo montage (families local spots warmth),#Madison #CommunityGathering #LocalFavorites #SupportLocal,6pm,,
7/5/26,Friday,LinkedIn,Market Insight,Madison's Moment (Why Now Why The Gallery),"Madison, MS is experiencing a rare market alignment:

**Wealth:** $121K median household income (highest in Mississippi, 2x state average)
**Growth:** 10th fastest-growing US city
**Opportunity:** Retail + entertainment supply lags demand by 15%+ year-over-year
**Anchors:** Nissan (5K+ jobs), AWS expansion, UMMC, Baptist Memorial Health

Result: 60,000+ affluent families within 15 minutes of Galleria Parkway, zero mixed-use gathering destination.

**Translation:** Madison isn't asking for a development. It's *ready for* a destination.

That's what The Gallery is. Not a project to fill square footage. A response to what a community actually needs.

Creation. Capital. Customer. Charity.",Market data infographic (MHI growth retail demand),#MarketOpportunity #Madison #RetailDemand #RealEstateDevelopment,9am,,
7/7/26,Monday,Instagram,Tenant Story,MS Candy @ The Gallery.,"MS Candy has been a Madison staple for [YEARS]. Made in Mississippi. Loved by Madison families.

When we were building The Gallery's tenant mix, MS Candy was obvious.

Not because they're a big name. But because they *get it*. Family-owned. Community-rooted. Committed to being part of something bigger than one store.

When local businesses choose to be part of your community, it's not about the real estate.

It's about the mission.

MS Candy opens at The Gallery [DATE]. 🍬

Transforming communities one connection at a time.",MS Candy founder/storefront photo (warm authentic owner presence),#LocalBusiness #MadeInMS #SupportLocal #Madison,9am,Week 2 - Local Stories,
7/8/26,Tuesday,LinkedIn,Partnership Story,Why Local Businesses Choose The Gallery,"MS Candy could open anywhere. They chose The Gallery. Here's why:

When a developer asks ""what do you need to succeed?"" instead of ""how much will you pay?"", that changes the conversation.

MS Candy wants to be part of a ecosystem where:
- Other local businesses thrive (not compete for scraps)
- Customer base is curated for quality over quantity
- Community identity is the brand (not margin)
- Long-term success matters more than opening-day sales

That's what attracted them. That's what's attracting Journey Wealth, Recovery Center, Enclave MedSpa, and 75+ other tenants.

Bellamare doesn't build developments and then find tenants. We find mission-aligned partners *first*, then design around them.

That's the difference between a property and a community.

Creation. Capital. Customer. Charity.",MS Candy + other tenant logos (unified professional),#CommunityPartnership #LocalBusiness #MixedUseDevelopment,9am,,
7/9/26,Wednesday,Facebook,Community Feature,Meet Journey Wealth. They're building in Madison too.,"Journey Wealth is a Madison-based financial services firm helping Mississippi families build real wealth.

They could rent office space anywhere. But they chose The Gallery.

Why? Because they wanted to be part of a community that believes in people-first development. A destination where families come to gather, shop, dine, and get healthier financially.

When a local business sees your development as an extension of their mission — not just square footage — that tells you something.

It means you're building community, not just property.

Journey Wealth opens at The Gallery [DATE]. 💼

Transforming communities one connection at a time.",Journey Wealth team/office photo (professional warm approachable),#LocalBusiness #Madison #CommunityBusiness #FinancialServices,9am,,
7/10/26,Thursday,LinkedIn,Market Story,The Amazon Effect: Why Mississippi Is Next,"AWS announced a $25B data center campus expansion in Ridgeland (5 miles from Madison).

What does that mean for a regional developer?

**Immediate:** Tech workers relocating to Madison. Higher average household income. Increased demand for premium retail, dining, entertainment.

**Structural:** AWS validates Mississippi as a tech destination. More corporate relocations follow. Talent pool expands.

**Long-term:** Madison transforms from ""bedroom community"" to ""destination for young professionals.""

Communities that have gathering places — mixed-use, walkable, culture-rich — become talent magnets.

The Gallery isn't just a response to current demand. It's infrastructure for Madison's next chapter.

Creation. Capital. Customer. Charity.",AWS campus context photo or economic growth graphic,#EconomicDevelopment #TechGrowth #Madison #RealEstateFuture,9am,,
7/11/26,Friday,Instagram,Team Story,Meet Paige Prechter. She's bringing The Gallery to life.,"Paige Prechter is Bellamare's Principal — and the person making sure The Gallery stays on track during pre-construction phase.

15+ years in commercial real estate. Expertise in mixed-use, capital stacks, tenant coordination.

More importantly? Paige thinks in systems. She sees how financing, leasing, and operations have to synchronize for a destination to actually work.

When you ask Paige about The Gallery, she doesn't talk about square footage. She talks about community rhythm. What needs to happen first. What creates momentum.

That's the difference between a project and a movement.

Transforming communities one connection at a time. 👷‍♀️",Paige Prechter professional photo (confident warm leadership),#Leadership #RealEstate #Women #CommunityDevelopment,9am,,
7/12/26,Saturday,Facebook,Community Impact,The Gallery isn't just retail. It's jobs.,"Here's what people miss about mixed-use development:

It's an economic engine.

**Construction phase:** 150+ jobs. Contractors, subcontractors, suppliers, engineering, project management.

**Opening:** 80+ permanent jobs. Retail, F&B, entertainment, wellness, administration, management.

**10-year impact:** 300+ direct and indirect jobs supported. Tax base growth. Supply chain relationships strengthened.

The Gallery creates opportunity. For construction workers. For restaurant teams. For local businesses. For families who need work.

That's community impact in the most real sense.

Transforming communities one connection at a time.",Construction crew/diverse team photo or job creation infographic,#JobCreation #CommunityEconomics #Madison #LocalHiring,11am,,
7/14/26,Monday,Instagram,Community Design,What does a wellness-first mixed-use development actually look like?,"Most mixed-use developments: retail, dining, entertainment.

The Gallery is designing for the *whole person*.

Yes, there's Spinners (120K SF family entertainment). Yes, there's dining — MS Candy, Hen & Egg, others.

But there's also:
- Recovery Center (mental health + therapy)
- Gym + Pilates + Yoga
- Physical Therapy + Acupuncture
- Enclave MedSpa (wellness + beauty)
- NeoGolf (sim sports + community)

When you're building a destination for Madison families, you design for celebration *and* healing.

That's systems thinking applied to community.

Transforming communities one connection at a time. 🌱",Wellness/healthcare provider imagery (calming therapeutic intentional),#Wellness #MentalHealth #Community #HealthyLiving,9am,Week 3 - Wellness & Community,
7/15/26,Tuesday,LinkedIn,Design Philosophy,Community Development Isn't One Building. It's An Ecosystem.,"Most developers think linearly: concept → build → lease → exit.

Bellamare thinks ecologically.

When you're designing a destination, you're not just arranging square footage. You're orchestrating how people *experience* community.

**The Gallery's ecosystem:**
- Entertainment anchor (Spinners) draws families
- Local retailers (MS Candy) serve them
- Financial services (Journey Wealth) help them prosper
- Wellness providers (Recovery Center, gym, PT) support their health
- Dining (Hen & Egg, others) becomes social infrastructure

Each tenant amplifies the others. Each experience reinforces the destination identity.

**Result:** Not a shopping center. A place where Madison comes alive.

That's why all 80+ tenants aren't competing for the same customer. They're all serving the same community mission.

Creation. Capital. Customer. Charity.",Ecosystem diagram or systems/network graphic,#SystemsThinking #CommunityDesign #MixedUseDevelopment,9am,,
7/16/26,Wednesday,Facebook,Tenant Spotlight,Recovery Center @ The Gallery: Why mental health matters.,"Modern communities need gathering places for celebration. They also need spaces for healing.

That's why The Gallery includes a Recovery Center — therapy, counseling, holistic wellness services for Madison families.

Because real community development means supporting people through every chapter of their lives.

Coming soon. 🌿

Transforming communities one connection at a time.",Therapeutic/calming imagery (wellness aesthetic),#MentalHealth #Community #Wellness #Madison,9am,,
