Date,Day,Platform,Series,Headline,Copy,Visual Specs,Hashtags,Publish Time,Notes
7/1/26,Tue,FB + IG,Proof · Static,Something is rising on the Gulfport waterfront.,"Something is rising on the Gulfport waterfront.

A $105M district at 25th & West Beach — 136 residences, retail, dining, and Hotel Holden, all facing the water.

Channel South. Downtown Gulfport.",Photoreal Stills/establishing-wide-golden,#ChannelSouth #Gulfport #GulfCoast #WaterfrontLiving #MississippiGulfCoast,12p,Story: reshare + 'Follow the rise 🌊' nudge.
7/2/26,Wed,FB + IG,Vision (Then & Now) · Carousel,Built where the coast began.,"Built where the coast began.

Channel South rises on the site of the Great Southern Hotel — the 1903 landmark that first drew the world to Gulfport's waterfront.

Same ground. New chapter.",Heritage archival + establishing render (7 slides),#ChannelSouth #Gulfport #GreatSouthernHotel #ThenAndNow #GulfCoastHistory,12p,Story: poll 'A telephone in every room — guess the year' → reveal 1903.
7/3/26,Thu,FB + IG,Hotel Holden reveal #1 · Static,Meet Hotel Holden.,"Meet Hotel Holden.

A 114-room Marriott Tribute hotel at the heart of Channel South — with a rooftop over Jones Park and the Harbor.

More to reveal.

Interested in leasing or retail? DM us or visit channelsouth.com.",Photoreal Stills/hotel-holden-entry-dusk,#HotelHolden #ChannelSouth #Gulfport #MarriottTribute #BoutiqueHotel,3p,Story: Holden 'tap to reveal' 3-frame + follow nudge.
7/7/26,Mon,FB + IG,Place · Reel,"Sunset over the Harbor, from a rooftop that doesn't exist yet.","Sunset over the Harbor, from a rooftop that doesn't exist yet.

Hotel Holden's rooftop will look out over Jones Park and the water.

Coming to downtown Gulfport.",Photoreal rooftop-bar-sunset + Holden rooftop render (slow push-in),#HotelHolden #JonesPark #Gulfport #RooftopViews #GulfCoast,12p,Story: leasing link sticker on a residence render.
7/8/26,Tue,FB + IG,Proof (watch it rise) · Reel,From the ground up.,"From the ground up.

Construction began in December. The parking structure rises first — then residences and Hotel Holden through 2027.

Channel South is moving.",⚠️ GAP: real construction photo. Interim: parking deck aerial → corner-aerial-golden (then/now),#ChannelSouth #Gulfport #UnderConstruction #WaterfrontDevelopment #GulfCoast,12p,Story: reshare + milestone countdown sticker.
7/9/26,Wed,FB + IG,Vision (Did you know?) · Carousel,Did you know? The Great Southern Hotel had a telephone in every room — in 1903.,"Did you know? The Great Southern Hotel had a telephone in every room, hot and cold running water, and its own power plant — in 1903.

Gulfport's waterfront has always been ahead of its time.","Heritage archival set, close on establishing render (6 slides)",#GulfportHistory #ChannelSouth #DidYouKnow #GreatSouthernHotel #GulfCoast,3p,Story: quiz + 'did you know?' poll.
7/10/26,Thu,FB + IG,Place (Holden #2 interiors) · Static,Rooted in story.,"Rooted in story.

Hotel Holden is designed around Gulfport's coastal legacy — atmosphere, texture, experience. Interiors by Flick Mars.

A first look is coming.

Leasing + retail → channelsouth.com.",Renders/Interior/S Lobby 01 (alt: Elevator Lobby 03),#HotelHolden #ChannelSouth #InteriorDesign #Gulfport #CoastalDesign,12p,Story: Holden tap-to-reveal.
7/11/26,Fri,FB + IG,Place (Meet the District) · Carousel,Meet the district.,"Meet the district.

17,637 sq ft of curated retail and dining, pedestrian streets, and public space — all on the Gulfport waterfront.

This is Channel South.

Interested in a space? DM us.",Aerial + retail-street-dusk + Holden rooftop (6 slides),#ChannelSouth #Gulfport #ShopLocal #WaterfrontDining #GulfCoast,12p,Story: leasing link + 'DM about retail.'
7/14/26,Mon,FB + IG,Proof · Static,294 spaces first. Then the skyline.,"294 spaces first. Then the skyline.

The parking structure is the first piece of Channel South to rise — delivering this year.",⚠️ GAP: construction photo. Interim: parking deck aerial,#ChannelSouth #Gulfport #UnderConstruction #ProgressUpdate #GulfCoast,12p,Story: countdown sticker.
7/15/26,Tue,FB + IG,Vision (Meet Captain Jones) · Carousel,Meet the man who made the port.,"Meet the man who made the port.

Captain Joseph T. Jones dredged the channel that created the Port of Gulfport — and built the Great Southern Hotel on this very ground.

Channel South rises on his legacy.",⚠️ GAP: Capt. Jones portrait/statue (find public-domain). Interim: heritage + harbor archival (6 slides),#GulfportHistory #ChannelSouth #JosephTJones #GulfCoastHistory #Gulfport,3p,Story: quiz 'Who founded Gulfport?'
7/16/26,Wed,FB + IG,Vision (Holden heritage names) · Carousel,The names will come from Gulfport itself.,"The names will come from Gulfport itself.

Hotel Holden's dining and rooftop will draw their names from the coast's own maritime history — its founders, its harbor, its shipwrights.

The stories are being chosen now.",Holden entry render + brass/maritime texture + heritage (keep outlet names internal),#HotelHolden #ChannelSouth #Gulfport #ComingSoon #MaritimeHeritage,12p,Story: 'tap to reveal the inspiration' (harbor / shipwright / crane).
